"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"788"	"PLESIOPENAEUS EDWARDSIANUS"	911	96071	"SCARLET GAMBA SHRIMP"	"(Johnson, 1868)"
"789"	"CALOCARIS TEMPLEMANI"	912	97707	NA	"Squires, 1965"
"790"	"PENAEUS AZTECUS"	913	95605	"BROWN SHRIMP"	"Ives, 1891"
"791"	"PENAEUS DUORARUM"	914	95608	"PINK SHRIMP"	"Burkenroad, 1939"
"792"	"PENAEUS SETIFERUS"	915	95610	"WHITE SHRIMP"	"(Linnaeus, 1767)"
"793"	"BREVIRAJA PLUTONIA"	924	160911	"LONGTAIL SKATE"	"Garman, 1881 (syn)"
"794"	"ALOPIAS VULPINUS"	925	159916	"THRESHER SHARK"	"(Bonnaterre, 1788)"
"795"	"ALOPIAS SUPERCILIOSUS"	926	159921	"BIGEYE THRESHER SHARK"	"(Lowe, 1841)"
"796"	"ISURUS PAUCUS"	927	159926	"LONGFIN MAKO"	"Guitart Manday, 1966"
"797"	"CARCHARHINUS ISODON"	928	160409	"FINETOOTH SHARK"	"(Muller and Henle, 1839)"
"798"	"CARCHARHINUS ALTIMUS"	929	160307	"BIGNOSE SHARK"	"(Springer, 1950)"
"799"	"CARCHARHINUS LONGIMANUS"	930	160330	"OCEANIC WHITETIP SHARK"	"(Poey, 1861)"
"800"	"CARCHARHINUS BREVIPINNA"	931	160401	"SPINNER SHARK"	"(Muller and Henle, 1839)"
"801"	"CARCHARHINUS POROSUS"	932	160340	"SMALLTAIL SHARK"	"(Ranzani, 1840)"
"802"	"CARCHARHINUS PEREZII"	933	160336	"REEF SHARK"	"(Poey, 1876)"
"803"	"CARCHARHINUS SIGNATUS"	934	160413	"NIGHT SHARK"	"(Poey, 1868)"
"804"	"MUSTELUS NORRISI"	935	160234	"FLORIDA SMOOTHHOUND"	"Springer, 1939"
"805"	"TRIAKIS SEMIFASCIATA"	936	160448	"LEOPARD SHARK"	"Girard, 1855"
"806"	"SPHYRNA MEDIA"	937	160524	"SCOOPHEAD SHARK"	"Springer, 1940"
"807"	"SARDA ORIENTALIS"	938	172410	"STRIPED BONITO"	"(Temminck and Schlegel, 1844)"
"808"	"ISTIOPHORUS PLATYPTERUS"	939	172488	"SAILFISH"	"(Shaw and Nodder, 1792)"
"809"	"MAKAIRA INDICA"	940	172492	"BLACK MARLIN"	"(Cuvier, 1832)"
"810"	"TETRAPTURUS ANGUSTIROSTRIS"	941	172503	"SHORTBILL SPEARFISH"	"Tanaka, 1915"
"811"	"TETRAPTURUS AUDAX"	942	172504	"STRIPED MARLIN"	"(Philippi, 1887)"
"812"	"TETRAPTURUS PFLUEGERI"	943	172502	"LONGBILL SPEARFISH"	"Robins and De Sylva, 1963"
"813"	"CARETTA CARETTA"	950	173830	"LOGGERHEAD SEATURTLE"	"(Linnaeus, 1758)"
"814"	"CHELONIA MYDAS"	951	173833	"GREEN SEATURTLE"	"(Linnaeus, 1758)"
"815"	"DERMOCHELYS CORIACEA"	952	173843	"LEATHERBACK SEATURTLE"	"(Vandelli, 1761)"
"816"	"ERETMOCHELYS IMBRICATA"	953	173836	"HAWKSBILL SEATURTLE"	"(Linnaeus, 1766)"
"817"	"LEPIDOCHELYS KEMPI"	954	173839	"KEMP'S RIDLEY SEATURTLE"	"(Garman, 1880) (syn)"
"818"	"TRASH SPECIES IN CATCH"	998	NA	"TRASH"	NA
