"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"175"	"LEPOPHIDIUM PROFUNDORUM"	194	164831	"FAWN CUSK-EEL"	"(Gill, 1863)"
"176"	"LAGOCEPHALUS LAEVIGATUS"	195	173285	"SMOOTH PUFFER"	"(Linnaeus, 1766)"
"177"	"SPHOEROIDES MACULATUS"	196	173290	"NORTHERN PUFFER"	"(Bloch and Schneider, 1801)"
"178"	"LOPHIUS AMERICANUS"	197	164499	"GOOSEFISH"	"Valenciennes, 1837"
"179"	"CHILOMYCTERUS SCHOEPFI"	198	173384	"STRIPED BURRFISH"	"(Walbaum, 1792)"
"180"	"DIBRANCHUS ATLANTICUS"	199	164589	"ATLANTIC BATFISH"	"Peters, 1875"
"181"	"RHINOBATOS LENTIGINOSUS"	200	160815	"ATLANTIC GUITARFISH"	"(Garman, 1880)"
"182"	"MONACANTHUS HISPIDUS"	201	173182	"PLANEHEAD FILEFISH"	"(Linnaeus, 1766)"
"183"	"BALISTES CAPRISCUS"	202	173138	"GRAY TRIGGERFISH"	"Gmelin, 1789"
"184"	"SERIOLA DUMERILI"	203	168689	"GREATER AMBERJACK"	"(Risso, 1810)"
"185"	"SERIOLA ZONATA"	204	168693	"BANDED RUDDERFISH"	"(Mitchill, 1815)"
"186"	"SCOMBERESOX SAURUS"	205	165612	"ATLANTIC SAURY"	"(Walbaum, 1792)"
"187"	"OGCOCEPHALUS CORNIGER"	206	164584	"LONGNOSE BATFISH"	"Bradbury, 1980"
"188"	"HYPEROGLYPHE PERCIFORMIS"	207	172512	"BARRELFISH"	"(Mitchill, 1818)"
"189"	"DECAPTERUS MACARELLUS"	208	168724	"MACKEREL SCAD"	"(Cuvier, 1833)"
"190"	"SELAR CRUMENOPHTHALMUS"	209	168677	"BIGEYE SCAD"	"(Bloch, 1793)"
"191"	"DIAPHUS DUMERILI"	210	162594	"HEADLIGHTFISH"	"(Bleeker, 1856)"
"192"	"DECAPTERUS PUNCTATUS"	211	168725	"ROUND SCAD"	"(Cuvier, 1829)"
"193"	"TRACHURUS LATHAMI"	212	168587	"ROUGH SCAD"	"Nichols, 1920"
"194"	"ARIOMMA BONDI"	213	172537	"SILVER RAG"	"Fowler, 1930"
"195"	"TYLOSURUS CROCODILUS"	215	165577	"HOUNDFISH"	"(Peron and Lesueur, 1821)"
"196"	"SYMPHURUS "	221	173061	"STRAIGHTMOUTH TONGUEFISHES"	NA
"197"	"NESIARCHUS NASUTUS"	227	172370	"BLACK GEMFISH"	"Johnson, 1862"
"198"	"STOMIAS BOA"	228	162292	"BOA DRAGONFISH"	"(Risso, 1810)"
"199"	"MAUROLICUS WEITZMANI "	229	622356	"WEITZMANS PEARLSIDES"	NA
"200"	"CHLOROPHTHALMUS "	231	162428	NA	NA
