"","taxon","spp","sppCorr","common.malin","common","taxLvl","species","genus","family","order","class","superclass","subphylum","phylum","kingdom"
"522","MERLUCCIUS BILINEARIS","Merluccius bilinearis","Merluccius bilinearis","silver hake","silver hake","Species","Merluccius bilinearis","Merluccius","Merlucciidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"523","METICIRRHUS AMERICAUS","Meticirrhus americaus","Menthicirrhus americanus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","MICROPOGOIAS UDULATUS","Micropogoias udulatus","Micropogon undulatus","Atlantic croaker","Atlantic croaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","MICROPOGONIAS UNDULATUS","Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker","Atlantic croaker","Species","Micropogonias undulatus","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"526","MOACATHUS HISPIDUS","Moacathus hispidus","Monacanthus hispidus","","planehead filefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","MONACANTHUS HISPIDUS",NA,NA,"planehead filefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","MULLUS AURATUS","Mullus auratus","Mullus auratus","red goatfish","red goatfish","Species","Mullus auratus","Mullus","Mullidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"529","MUSTELUS CAIS","Mustelus cais","Mustellus canis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","MUSTELUS CANIS","Mustelus canis","Mustelus canis","","smooth dogfish","Species","Mustelus canis","Mustelus","Triakidae","Carcharhiniformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"531","MYCTOPHIDAE","Myctophidae","Myctophidae","lanternfishes","lanternfishes","Family",NA,NA,"Myctophidae","Myctophiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"532","MYOXOCEPHALUS OCTODECEMSPINOSUS","Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus","longhorn sculpin","longhorn sculpin","Species","Myoxocephalus octodecemspinosus","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"533","MYOXOCEPHALUS SCORPIUS","Myoxocephalus scorpius","Myoxocephalus scorpius","shorthorn sculpin","shorthorn sculpin","Species","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"534","MYXINE GLUTINOSA","Myxine glutinosa","Myxine glutinosa","","Atlantic hagfish","Species","Myxine glutinosa","Myxine","Myxinidae","Myxiniformes","Myxini",NA,"Vertebrata","Chordata","Animalia"
"535","Macoma sp.","Macoma","Macoma","","nonnetjes","Genus",NA,"Macoma","Tellinidae","Veneroida","Bivalvia",NA,NA,"Mollusca","Animalia"
"536","Mactromeris polynyma","Mactromeris polynyma","Mactromeris polynyma","","Arctic surfclam","Species","Mactromeris polynyma","Mactromeris","Mactridae","Veneroida","Bivalvia",NA,NA,"Mollusca","Animalia"
"537","Malacocottus zonurus","Malacocottus zonurus","Malacocottus zonurus","darkfin sculpin","darkfin sculpin","Species","Malacocottus zonurus","Malacocottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"538","Malacocottuszonurus",NA,NA,"darkfin sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","Malacoraja senta",NA,NA,"smooth skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Mallotus villosus","Mallotus villosus","Mallotus villosus","capelin","capelin","Species","Mallotus villosus","Mallotus","Osmeridae","Osmeriformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"541","Mallotusvillosus",NA,NA,"capelin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Mediaster aequalis","Mediaster aequalis","Mediaster aequalis","","Vermilion star","Species","Mediaster aequalis","Mediaster","Goniasteridae","Valvatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"543","Mediaster spp.","Mediaster","Mediaster","","Vermilion star","Genus",NA,"Mediaster","Goniasteridae","Valvatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"544","Melanogrammus aeglefinus",NA,NA,"haddock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","Merluccius albidus",NA,NA,"offshore hake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","Merluccius bilinearis",NA,NA,"silver hake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Merluccius productus","Merluccius productus","Merluccius productus","Pacific hake","North Pacific hake","Species","Merluccius productus","Merluccius","Merlucciidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"548","Metridium farcimen","Metridium farcimen","Metridium farcimen","","gigantic anemone","Species","Metridium farcimen","Metridium","Metridiidae","Actiniaria","Anthozoa",NA,"Anthozoa","Cnidaria","Animalia"
"549","Metridium sp.","Metridium","Metridium","plumose anemones","Plumose sea anemones","Genus",NA,"Metridium","Metridiidae","Actiniaria","Anthozoa",NA,"Anthozoa","Cnidaria","Animalia"
"550","Metridiumsp.",NA,NA,"plumose anemones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","Microgadus proximus","Microgadus proximus","Microgadus proximus","Pacific tomcod","Pacific tomcod","Species","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"552","Microgadusproximus",NA,NA,"Pacific tomcod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Microstomus pacificus","Microstomus pacificus","Microstomus pacificus","Dover sole","Dover sole","Species","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"554","Microstomuspacificus",NA,NA,"Dover sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","Modiolus modiolus","Modiolus modiolus","Modiolus modiolus","","northern horsemussel","Species","Modiolus modiolus","Modiolus","Mytilidae","Mytiloida","Bivalvia",NA,NA,"Mollusca","Animalia"
"556","Molgula grifithsii","Molgula grifithsii","Molgula griffithsii","","sea grapes","Species","Molgula griffithsii","Molgula","Molgulidae","Pleurogona","Ascidiacea",NA,"Urochordata","Chordata","Animalia"
"557","Molpadia intermedia","Molpadia intermedia","Molpadia intermedia","",NA,"Species","Molpadia intermedia","Molpadia","Molpadiidae","Molpadiida","Holothuroidea",NA,"Echinozoa","Echinodermata","Animalia"
"558","Moroteuthis robusta","Moroteuthis robusta","Moroteuthis robusta","","robust clubhook squid","Species","Moroteuthis robusta","Moroteuthis","Onychoteuthidae","Teuthida","Cephalopoda",NA,NA,"Mollusca","Animalia"
"559","Munida quadrispina","Munida quadrispina","Munida quadrispina","",NA,"Species","Munida quadrispina","Munida","Galatheidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"560","Musculus discors","Musculus discors","Musculus discors","","discordant mussel","Species","Musculus discors","Musculus","Mytilidae","Mytiloida","Bivalvia",NA,NA,"Mollusca","Animalia"
"561","Mycale loveni","Mycale loveni","Mycale loveni","",NA,"Species","Mycale loveni","Mycale","Mycalidae","Poecilosclerida","Demospongiae",NA,NA,"Porifera","Animalia"
"562","Myctophidae","Myctophidae","Myctophidae","lanternfishes","lanternfishes","Family",NA,NA,"Myctophidae","Myctophiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"563","Myoxocephalus jaok","Myoxocephalus jaok","Myoxocephalus jaok","","plain sculpin","Species","Myoxocephalus jaok","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"564","Myoxocephalus octodecemspinosus",NA,NA,"longhorn sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Myoxocephalus polyacanthocephalus","Myoxocephalus polyacanthocephalus","Myoxocephalus polyacanthocephalus","","great sculpin","Species","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"566","Myoxocephalus sp.","Myoxocephalus","Myoxocephalus","daddy sculpins","daddy sculpins","Genus",NA,"Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"567","Myoxocephalussp",NA,NA,"daddy sculpins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","Myoxocephalussp.",NA,NA,"daddy sculpins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","Myxinidae","Myxinidae","Myxinidae","","hagfishes","Family",NA,NA,"Myxinidae","Myxiniformes","Myxini",NA,"Vertebrata","Chordata","Animalia"
"570","Myxoderma platyacanthum","Myxoderma platyacanthum","Myxoderma platyacanthum","",NA,"Species","Myxoderma platyacanthum","Myxoderma","Zoroasteridae","Forcipulatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"571","NEMICHTHYS SCOLOPACEUS","Nemichthys scolopaceus","Nemichthys scolopaceus","Atlantic snipe eel","slender snipe eel","Species","Nemichthys scolopaceus","Nemichthys","Nemichthyidae","Anguilliformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"572","NEZUMIA BAIRDI","Nezumia bairdi","Nezumia bairdi","marlin-spike","grenadier du Grand Banc","Species","Nezumia bairdii","Nezumia","Macrouridae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"573","NEZUMIA BAIRDII","Nezumia bairdii","Nezumia bairdii","marlin-spike","marlin-spike grenadier","Species","Nezumia bairdii","Nezumia","Macrouridae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"574","NOTACANTHIDAE","Notacanthidae","Notacanthidae","spiny eels","spiny eels","Family",NA,NA,"Notacanthidae","Albuliformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"575","Natica sp.","Natica","Natica","","Red-Banded Moon Snail","Genus",NA,"Natica","Naticidae","Neotaenioglossa","Gastropoda",NA,NA,"Mollusca","Animalia"
"576","Nautichthys oculofasciatus","Nautichthys oculofasciatus","Nautichthys oculofasciatus","","sailfin sculpin","Species","Nautichthys oculofasciatus","Nautichthys","Hemitripteridae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"577","Neptunea amianta","Neptunea amianta","Neptunea amianta","",NA,"Species","Neptunea amianta","Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"578","Neptunea borealis","Neptunea borealis","Neptunea borealis","true whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","Neptunea heros","Neptunea heros","Neptunea heros","true whelk","Heros Neptune","Species","Neptunea heros","Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"580","Neptunea lyrata","Neptunea lyrata","Neptunea lyrata","lyre whelk","lyre whelk","Species","Neptunea lyrata","Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"581","Neptunea pribiloffensis","Neptunea pribiloffensis","Neptunea pribiloffensis","Pribilof whelk","Pribilof whelk","Species","Neptunea pribiloffensis","Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"582","Neptunea sp.","Neptunea","Neptunea","true whelks","noordhorens","Genus",NA,"Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"583","Neptunea spp.","Neptunea","Neptunea","true whelks","noordhorens","Genus",NA,"Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"584","Neptunea ventricosa","Neptunea ventricosa","Neptunea ventricosa","fat whelk","fat whelk","Species","Neptunea ventricosa","Neptunea","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"585","Neptuneaborealis",NA,NA,"true whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Neptuneaheros",NA,NA,"true whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Neptunealyrata",NA,NA,"lyre whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Neptuneapribiloffensis",NA,NA,"Pribilof whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Neptuneasp.",NA,NA,"true whelks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Neptuneaventricosa",NA,NA,"fat whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Notostomum cyclostomum","Notostomum cyclostomum","Notostomum cyclostomum","",NA,"Species","Notostomum cyclostomum","Notostomum","Piscicolidae","Rhynchobdellida","Hirudinea",NA,"Clitellata","Annelida","Animalia"
"592","Nudibranchia","Nudibranchia","Nudibranchia","nudibranchs","nudibranchs","Order",NA,NA,NA,"Nudibranchia","Gastropoda",NA,NA,"Mollusca","Animalia"
"593","OCTOPODIDAE","Octopodidae","Octopodidae","octopuses","Echte Kraken","Family",NA,NA,"Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"594","OGCOCEPHALUS DECLIVIROSTRIS","Ogcocephalus declivirostris","Ogcocephalus declivirostris","","slantbrow batfish","Species","Ogcocephalus declivirostris","Ogcocephalus","Ogcocephalidae","Lophiiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"595","OPHICHTHUS GOMESII","Ophichthus gomesii","Ophichthus gomesii","","shrimp eel","Species","Ophichthus gomesii","Ophichthus","Ophichthidae","Anguilliformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"596","OPHIDIO HOLBROOKI","Ophidio holbrooki","Ophidion holbrooki","","bank cusk-eel","Species","Ophidion holbrookii","Ophidion","Ophidiidae","Ophidiiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"597","OPHIDIO WELSHI","Ophidio welshi","Ophidion welshi","","crested cusk-eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","OPHIDION WELSHI",NA,NA,"crested cusk-eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","OPISTHOEMA OGLIUM","Opisthoema oglium","Opisthonema oglinun","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","OPISTHONEMA OGLINUM","Opisthonema oglinum","Opisthonema oglinum","Atlantic thread herring","Atlantic thread herring","Species","Opisthonema oglinum","Opisthonema","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"601","ORTHOPRISTIS CHRYSOPTERUS","Orthopristis chrysopterus","Orthopristis chrysopterus","pigfish","pigfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","OVALIPES FLORIDAUS","Ovalipes floridaus","Ovalipes floridanus","","Florida lady crab","Species","Ovalipes floridanus","Ovalipes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"603","Occella dodecaedron","Occella dodecaedron","Occella dodecaedron","Bering poacher","Bering poacher","Species","Occella dodecaedron","Occella","Agonidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"604","Occelladodecaedron",NA,NA,"Bering poacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Octopodidae","Octopodidae","Octopodidae","octopuses","Echte Kraken","Family",NA,NA,"Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"606","Octopus (=Enteroctopus) dofleini","Octopus dofleini","Octopus dofleini","",NA,"Species","Enteroctopus dofleini","Enteroctopus","Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"607","Octopus rubescens","Octopus rubescens","Octopus rubescens","","East Pacific red octopus","Species","Octopus rubescens","Octopus","Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"608","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","","pink salmon","Species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"609","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus keta","chum salmon","chum salmon","Species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"610","Oncorhynchus kisutch","Oncorhynchus kisutch","Oncorhynchus kisutch","coho salmon","coho salmon","Species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"611","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka","","sockeye salmon","Species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"612","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Chinook salmon","Chinook salmon","Species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"613","Oncorhynchusketa",NA,NA,"chum salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Oncorhynchuskisutch",NA,NA,"coho salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Oncorhynchustshawytscha",NA,NA,"Chinook salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Ophiodon elongatus","Ophiodon elongatus","Ophiodon elongatus","lingcod","lingcod","Species","Ophiodon elongatus","Ophiodon","Hexagrammidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"617","Ophiodonelongatus",NA,NA,"lingcod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Ophiopholis aculeata","Ophiopholis aculeata","Ophiopholis aculeata","","daisy brittle star","Species","Ophiopholis aculeata","Ophiopholis","Ophiactidae","Ophiurida","Ophiuroidea",NA,"Asterozoa","Echinodermata","Animalia"
"619","Ophiopholis spp.","Ophiopholis","Ophiopholis","","Crevice brittlestar","Genus",NA,"Ophiopholis","Ophiactidae","Ophiurida","Ophiuroidea",NA,"Asterozoa","Echinodermata","Animalia"
"620","Ophiura sarsi","Ophiura sarsi","Ophiura sarsi","","storfjällig fransormstjärna","Species","Ophiura sarsi","Ophiura","Ophiuridae","Ophiurida","Ophiuroidea",NA,"Asterozoa","Echinodermata","Animalia"
"621","Ophiuroidea","Ophiuroidea","Ophiuroidea","","brittle stars","Class",NA,NA,NA,NA,"Ophiuroidea",NA,"Asterozoa","Echinodermata","Animalia"
"622","Oregonia gracilis","Oregonia gracilis","Oregonia gracilis","graceful decorator crab","graceful decorator crab","Species","Oregonia gracilis","Oregonia","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"623","Oregoniagracilis",NA,NA,"graceful decorator crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Orthasterias koehleri","Orthasterias koehleri","Orthasterias koehleri","",NA,"Species","Orthasterias koehleri","Orthasterias","Asteriidae","Forcipulatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"625","Osmeridae","Osmeridae","Osmeridae","smelts","smelts","Family",NA,NA,"Osmeridae","Osmeriformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"626","Osmerus mordax","Osmerus mordax","Osmerus mordax","","rainbow smelt","Species","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"627","PANDALUS BOREALIS","Pandalus borealis","Pandalus borealis","northern shrimp","northern shrimp","Species","Pandalus borealis","Pandalus","Pandalidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"628","PANDALUS MONTAGUI","Pandalus montagui","Pandalus montagui","Aesop shrimp","Aesop shrimp","Species","Pandalus montagui","Pandalus","Pandalidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"629","PANDALUS PROPINQUUS","Pandalus propinquus","Pandalus propinquus","pandalid shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","PARALEPIDIDAE","Paralepididae","Paralepididae","barracudinas","barracudinas","Family",NA,NA,"Paralepididae","Aulopiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"631","PARALICHTHYS DENTATUS","Paralichthys dentatus","Paralichthys dentatus","","summer flounder","Species","Paralichthys dentatus","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"632","PARALICHTHYS LETHOSTIGMA","Paralichthys lethostigma","Paralichthys lethostigma","southern flounder","southern flounder","Species","Paralichthys lethostigma","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"633","PARALICHTHYS OBLONGUS","Paralichthys oblongus","Paralichthys oblongus","","American fourspot flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","PARTHEOPE GRAULATA","Partheope graulata","Parthenope granulata","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","PASIPHAEA  SP",NA,NA,"glass shrimps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","PASIPHAEA  SP.","Pasiphaea","Pasiphaea","glass shrimps","glassreker","Genus",NA,"Pasiphaea","Pasiphaeidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"637","PEAEUS AZTECUS","Peaeus aztecus","Penaeus aztecus","","brown shrimp","Species","Farfantepenaeus aztecus","Farfantepenaeus","Penaeidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"638","PEAEUS DUORARUM","Peaeus duorarum","Penaeus duoranim","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","PEAEUS SETIFERUS","Peaeus setiferus","Penaeus setiferus","","white shrimp","Species","Litopenaeus setiferus","Litopenaeus","Penaeidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"640","PENAEUS AZTECUS",NA,NA,"brown shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","PENAEUS DUORARUM",NA,NA,"northern pink shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","PENAEUS SETIFERUS",NA,NA,"northern white shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","PEPRILUS ALEPIDOTUS","Peprilus alepidotus","Peprilus alepidotus","harvestfish","star butterfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","PEPRILUS BURTI","Peprilus burti","Peprilus burti","Gulf butterfish","Gulf butterfish","Species","Peprilus burti","Peprilus","Stromateidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"645","PEPRILUS TRIACANTHUS","Peprilus triacanthus","Peprilus triacanthus","","American butterfish","Species","Peprilus triacanthus","Peprilus","Stromateidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"646","PERISTEDION MINIATUM","Peristedion miniatum","Peristedion miniatum","","armored searobin","Species","Peristedion miniatum","Peristedion","Triglidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"647","PERSEPHOA CRIITA","Persephoa criita","Persephona crinita","","pink purse crab","Species","Persephona crinita","Persephona","Leucosiidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"648","PERSEPHOA MEDITERRAEA","Persephoa mediterraea","Persephona mediterranea","","mottled purse crab","Species","Persephona mediterranea","Persephona","Leucosiidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"649","PLACOPECTEN MAGELLANICUS","Placopecten magellanicus","Placopecten magellanicus","","sea scallop","Species","Placopecten magellanicus","Placopecten","Pectinidae","Ostreoida","Bivalvia",NA,NA,"Mollusca","Animalia"
"650","POLLACHIUS VIRENS","Pollachius virens","Pollachius virens","pollock","saithe","Species","Pollachius virens","Pollachius","Gadidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"651","POLYDACTYLUS OCTOEMUS","Polydactylus octoemus","Polydactylus octonemus","","Atlantic threadfin","Species","Polydactylus octonemus","Polydactylus","Polynemidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"652","POMATOMUS SALTATRIX","Pomatomus saltatrix","Pomatomus saltatrix","","bluefish","Species","Pomatomus saltatrix","Pomatomus","Pomatomidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"653","PORICHTHYS PLECTRODO","Porichthys plectrodo","Porichthys plectrodon","","Atlantic midshipman","Species","Porichthys plectrodon","Porichthys","Batrachoididae","Batrachoidiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"654","PORICHTHYS PLECTRODON","Porichthys plectrodon","Porichthys plectrodon","Atlantic midshipman","Atlantic midshipman","Species","Porichthys plectrodon","Porichthys","Batrachoididae","Batrachoidiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"655","PORIFERA","Porifera","Porifera","sponges","sponges","Phylum",NA,NA,NA,NA,NA,NA,NA,"Porifera","Animalia"
"656","PORTUNUS GIBBESII","Portunus gibbesii","Portunus gibbesii","iridescent swimming crab","iridescent swimming crab","Species","Portunus gibbesii","Portunus","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"657","PORTUNUS SPINICARPUS",NA,NA,"longspine swimming crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","PORTUNUS SPINIMANUS","Portunus spinimanus","Portunus spinimanus","blotched swimming crab","blotched swimming crab","Species","Portunus spinimanus","Portunus","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"659","PORTUUS GIBBESII","Portuus gibbesii","Portunus gibbesii","","iridescent swimming crab","Species","Portunus gibbesii","Portunus","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"660","PORTUUS SPIICARPUS","Portuus spiicarpus","Portunas spinicarpus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","PORTUUS SPIIMAUS","Portuus spiimaus","Portunus spinimanus","","blotched swimming crab","Species","Portunus spinimanus","Portunus","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"662","PRIACANTHUS ARENATUS","Priacanthus arenatus","Priacanthus arenatus","bigeye","Atlantic bigeye","Species","Priacanthus arenatus","Priacanthus","Priacanthidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"663","PRIACATHUS AREATUS","Priacathus areatus","Priacanthus arenatus","","Atlantic bigeye","Species","Priacanthus arenatus","Priacanthus","Priacanthidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"664","PRIONOTUS CAROLINUS","Prionotus carolinus","Prionotus carolinus","","northern searobin","Species","Prionotus carolinus","Prionotus","Triglidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
