"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"OTOPHIDIUM OMOSTIGMUM"	186	164859	"POLKA-DOT CUSK-EEL"	"(Jordan and Gilbert, 1882)"
"MULLUS AURATUS"	187	169417	"RED GOATFISH"	"Jordan and Gilbert, 1882"
"OPHIDION MARGINATUM"	188	164852	"STRIPED CUSK-EEL"	"(De Kay, 1842)"
"LYCODES RETICULATUS"	189	165280	"ARCTIC EELPOUT"	"Reinhardt, 1835"
"LYCENCHELYS VERRILLI"	190	165242	"WOLF EELPOUT"	"(Goode and Bean, 1877)"
"CRYPTACANTHODES MACULATUS"	191	171609	"WRYMOUTH"	"Storer, 1839"
"ANARHICHAS LUPUS"	192	171341	"ATLANTIC WOLFFISH"	"Linnaeus, 1758"
"MACROZOARCES AMERICANUS"	193	165318	"OCEAN POUT"	"(Schneider, 1801)"
"LEPOPHIDIUM PROFUNDORUM"	194	164831	"FAWN CUSK-EEL"	"(Gill, 1863)"
"LAGOCEPHALUS LAEVIGATUS"	195	173285	"SMOOTH PUFFER"	"(Linnaeus, 1766)"
"SPHOEROIDES MACULATUS"	196	173290	"NORTHERN PUFFER"	"(Bloch and Schneider, 1801)"
"LOPHIUS AMERICANUS"	197	164499	"GOOSEFISH"	"Valenciennes, 1837"
"CHILOMYCTERUS SCHOEPFI"	198	173384	"STRIPED BURRFISH"	"(Walbaum, 1792)"
"DIBRANCHUS ATLANTICUS"	199	164589	"ATLANTIC BATFISH"	"Peters, 1875"
"RHINOBATOS LENTIGINOSUS"	200	160815	"ATLANTIC GUITARFISH"	"(Garman, 1880)"
"MONACANTHUS HISPIDUS"	201	173182	"PLANEHEAD FILEFISH"	"(Linnaeus, 1766)"
"BALISTES CAPRISCUS"	202	173138	"GRAY TRIGGERFISH"	"Gmelin, 1789"
"SERIOLA DUMERILI"	203	168689	"GREATER AMBERJACK"	"(Risso, 1810)"
"SERIOLA ZONATA"	204	168693	"BANDED RUDDERFISH"	"(Mitchill, 1815)"
"SCOMBERESOX SAURUS"	205	165612	"ATLANTIC SAURY"	"(Walbaum, 1792)"
"OGCOCEPHALUS CORNIGER"	206	164584	"LONGNOSE BATFISH"	"Bradbury, 1980"
"HYPEROGLYPHE PERCIFORMIS"	207	172512	"BARRELFISH"	"(Mitchill, 1818)"
"DECAPTERUS MACARELLUS"	208	168724	"MACKEREL SCAD"	"(Cuvier, 1833)"
"SELAR CRUMENOPHTHALMUS"	209	168677	"BIGEYE SCAD"	"(Bloch, 1793)"
"DIAPHUS DUMERILI"	210	162594	"HEADLIGHTFISH"	"(Bleeker, 1856)"
"DECAPTERUS PUNCTATUS"	211	168725	"ROUND SCAD"	"(Cuvier, 1829)"
"TRACHURUS LATHAMI"	212	168587	"ROUGH SCAD"	"Nichols, 1920"
"ARIOMMA BONDI"	213	172537	"SILVER RAG"	"Fowler, 1930"
"TYLOSURUS CROCODILUS"	215	165577	"HOUNDFISH"	"(Peron and Lesueur, 1821)"
"SYMPHURUS "	221	173061	"STRAIGHTMOUTH TONGUEFISHES"	NA
"NESIARCHUS NASUTUS"	227	172370	"BLACK GEMFISH"	"Johnson, 1862"
"STOMIAS BOA"	228	162292	"BOA DRAGONFISH"	"(Risso, 1810)"
"MAUROLICUS WEITZMANI "	229	622356	"WEITZMANS PEARLSIDES"	NA
"CHLOROPHTHALMUS "	231	162428	NA	NA
"CHLOROPHTHALMUS AGASSIZI"	232	162430	"SHORTNOSE GREENEYE"	"Bonaparte, 1840"
"GONOSTOMA BATHYPHILUM"	233	162184	NA	NA
"GONOSTOMA ATLANTICUM"	234	162183	NA	NA
"GONOSTOMA ELONGATUM"	235	162185	"LONGTOOTH ANGLEMOUTH"	"Guenther"
"VINCIGUERRIA "	236	162192	NA	NA
"POLYMETME THAEOCORYLA "	237	622358	NA	NA
"BENTHODESMUS SIMONYI"	239	172380	"SIMONYS FROSTFISH"	"(Steindachner, 1891)"
"CHAULIODUS SLOANI"	240	162281	"VIPERFISH"	"Schneider"
"CHAULIODUS DANAE"	241	162280	NA	NA
"PARASUDIS TRUCULENTA"	242	162435	"LONGNOSE GREENEYE"	"Goode Bean"
"XENODERMICHTHYS COPEI"	243	162340	"BLUNTNOSE SMOOTHHEAD"	NA
"VINCIGUERRIA ATTENUATA"	244	162193	"SLENDER LIGHTFISH"	NA
"PARALEPIS COREGONOIDES"	245	162493	NA	"Risso, 1820"
"ARCTOZENUS RISSO "	246	644687	"WHITE BARRACUDINA"	NA
"STOMIIDAE"	248	162282	"SCALY DRAGONFISH UNCL"	NA
"CYCLOPTERIDAE"	249	167483	"LUMPFISH SNAILFISH UNCL"	NA
"ARGYROPELECUS ACULEATUS"	250	162215	"SILVER HATCHETFISH"	"Cuvier and Valenciennes"
"POLYIPNUS CLARUS "	251	622357	"SLOPE HATCHETFISH"	NA
"STERNOPTYCHIDAE"	252	162212	"HATCHETFISH UNCL"	NA
"CAREPROCTUS RANULA "	260	643676	NA	NA
"HOPLOSTETHUS MEDITERRANEUS"	261	166140	"BLACKMOUTHED ALFONSIN"	"Cuvier and Valenciennes"
"MELANOSTIGMA ATLANTICUM"	262	165296	"ATLANTIC SOFT POUT"	"Koefoed, 1952"
"POLYMIXIA LOWEI"	263	166126	"BEARDFISH"	"Guenther, 1859"
"POLYMIXIA NOBILIS"	264	166127	"STOUT BEARDFISH"	"Lowe"
"MOLA MOLA"	265	173414	"OCEAN SUNFISH"	"(Linnaeus, 1758)"
"HOPLOSTETHUS OCCIDENTALIS"	266	166141	NA	NA
"ZOARCIDAE"	267	165215	"EELPOUT UNCL"	NA
"GEPHYROBERYX DARWINI"	268	166137	"BIG ROUGHY"	"(Johnson, 1866)"
"RHINOPTERA BONASUS"	270	160985	"COWNOSE RAY"	"(Mitchill, 1815)"
"AETOBATUS NARINARI  "	271	160978	"SPOTTED EAGLE RAY"	NA
"MANTA BIROSTRIS"	272	160992	"MANTA"	"(Walbaum, 1792)"
"PRIONOTUS PARALATUS"	274	166987	"MEXICAN SEAROBIN"	"Ginsburg, 1950"
"MALACOCEPHALUS OCCIDENTALIS"	280	165390	"WESTERN SOFTHEAD GRENADIER"	"Goode and Bean, 1885"
"YARELLA BLACKFORDI"	281	162205	NA	NA
"SPIRONTOCARIS PHIPPSII"	285	96761	"PUNCTATE BLADE SHRIMP"	"(Kroyer, 1841)"
"SPIRONTOCARIS SPINUS"	286	96775	"PARROT SHRIMP"	"(Sowerby, 1805)"
"CRANGON SEPTEMSPINOSA"	287	97110	"SEVENSPINE BAY SHRIMP"	"Say, 1818"
"EUALUS FABRICII"	291	96805	"ARCTIC EUALID"	"(Kroyer, 1841)"
"PASIPHAEA MULTIDENTATA"	292	96166	"PINK GLASS SHRIMP"	"Esmark, 1866"
"LEBBEUS GROENLANDICUS"	293	96787	"SPINY LEBBEID"	"(Fabricius, 1775)"
"LEBBEUS POLARIS"	294	96792	"POLAR LEBBEID"	"(Sabine, 1821)"
"SPIRONTOCARIS LILJEBORGII"	295	96765	"FRIENDLY BLADE SHRIMP"	"(Danielssen, 1859)"
"DICHELOPANDALUS LEPTOCERUS"	296	97000	"BRISTLED LONGBEAK"	"(Smith, 1881)"
"PANDALUS MONTAGUI"	297	96971	"AESOP SHRIMP"	"Leach, 1814"
"PANDALUS PROPINQUUS"	298	96986	NA	"G. O. Sars, 1869"
"PONTOPHILUS NORVEGICUS"	299	97184	"NORWEGIAN SHRIMP"	"(M. Sars, 1861)"
"HOMARUS AMERICANUS"	301	97314	"AMERICAN LOBSTER"	"H. Milne-Edwards, 1837"
"SCYLLARIDES NODIFER"	302	97673	"RIDGED SLIPPER LOBSTER"	"(Stimpson, 1866)"
"SCYLLARIDES AEQUINOCTIALIS"	303	97676	"SPANISH SLIPPER LOBSTER"	"(Lund, 1793)"
"PANULIRUS ARGUS"	304	97648	"CARIBBEAN SPINY LOBSTER"	"(Latreille, 1804)"
"CRUSTACEA SHRIMP"	305	NA	"SHRIMP UNCL"	NA
"PANDALUS BOREALIS"	306	96967	"NORTHERN SHRIMP"	"Kroyer, 1838"
"PENAEUS "	307	95603	"SHRIMP (PINK -BROWN - WHITE)"	NA
"GERYON FENNERI"	308	98909	"GOLDEN DEEPSEA CRAB"	"Manning and Holthuis, 1984"
"GERYON AFFINIS"	309	98908	"WHITE CRAB"	NA
"GERYON QUINQUEDENS"	310	98906	"RED DEEPSEA CRAB"	"Smith, 1879"
"CANCRIDAE"	311	98670	"CANCER CRAB UNCL"	"Latreille, 1803"
"CANCER BOREALIS"	312	98678	"JONAH CRAB"	"Stimpson, 1859"
"CANCER IRRORATUS"	313	98679	"ATLANTIC ROCK CRAB"	"Say, 1817"
"CALLINECTES SAPIDUS"	314	98696	"BLUE CRAB"	"Rathbun, 1896"
"OVALIPES "	315	98710	"CALICO CRAB UNCL"	NA
"SICYONIA BREVIROSTRIS"	316	96028	"BROWN ROCK SHRIMP"	"Stimpson, 1871"
"MAJIDAE"	317	98417	"SPIDER CRAB UNCL"	"Samouelle, 1819"
"LIMULUS POLYPHEMUS"	318	82703	"HORSESHOE CRAB"	NA
"GALATHEIDAE"	319	97964	"GALATHEID UNCL"	"Samouelle, 1819"
"PORTUNIDAE"	320	98689	"SWIMMING CRAB UNCL"	"Rafinesque, 1815"
"OVALIPES STEPHENSONI"	321	98715	"COARSEHAND LADY CRAB"	"Williams, 1976"
"OVALIPES OCELLATUS"	322	98714	"LADY CRAB"	"(Herbst, 1799)"
"STOMATOPODA"	323	99140	"MANTIS SHRIMP UNCL"	"Latreille, 1817"
"LITHODES MAJA"	324	97943	"NORTHERN STONE CRAB"	"(Linnaeus, 1758)"
"CHIONOECETES OPILIO"	325	98428	"SNOW CRAB"	"(Fabricius, 1788)"
"CARCINUS MAENAS"	326	98734	"GREEN CRAB"	"(Linnaeus, 1758)"
"HEPATUS EPHELITICUS"	327	98348	"CALICO BOX CRAB"	"(Linnaeus, 1763)"
"CALAPPA FLAMMEA"	328	98342	"FLAME BOX CRAB"	"(Herbst, 1794)"
"CALAPPA SULCATA"	329	98343	"YELLOW BOX CRAB"	"Rathbun, 1898"
"CLYPEASTEROIDA"	330	157984	"SAND DOLLAR UNCL"	NA
"ECHINOIDEA"	331	157821	"SEA URCHIN AND SAND DOLLAR UNCL"	"Leske, 1778"
"STELLEROIDEA"	332	156858	"SEA STAR - BRITTLE STAR - AND BASKETS"	"Lamarck, 1816"
"ASTERIAS VULGARIS"	333	157219	"BOREAL ASTERIAS"	NA
"ASTROPECTEN "	334	156901	NA	NA
"PAGUROIDEA"	335	206947	"HERMIT CRAB UNCL"	"Latreille, 1803"
"BUSYCOTYPUS CANALICULATUS"	336	74096	"CHANNELED WHELK"	"(Linnaeus, 1758)"
"BUSYCON CARICA"	337	74071	"KNOBBED WHELK"	"(Gmelin, 1791)"
"NATICIDAE"	338	72878	"MOON SNAIL SHARK EYE AND BABY-EAR"	"Guilding, 1834"
