SPECIES_CODE,SPECIES_NAME,COMMON_NAME,REVISION,BS,GOA,WC,AUDITJOIN
59120,Notostomobdella sp.,,,Y,,,610
60001,Crustacea,crustacean unident.,A88,Y,Y,Y,611
60100,Amphipoda,amphipod unident.,,Y,Y,,612
60110,Gammaridae,gammarid amphipod unident.,,Y,,,613
60130,Melita dentata,,,Y,,,614
60140,Anonyx sp.,,,Y,,,615
60145,Caprella sp.,caprellid amphipod unident.,,,Y,,616
30620,Sebastes simulator,pinkrose rockfish,,,,Y,617
30630,Sebastes (=Sebastomus) sp.,,,Y,Y,,618
31501,Scorpaena guttata,California scorpionfish,,,,Y,619
40001,Cnidaria,coelenterate unident.,,Y,Y,Y,620
40010,Hydrozoa,,A88,Y,Y,,621
40011,,hydroid unident.,,Y,Y,Y,622
40020,Hydractinia sp.,,,Y,,,623
40050,Sertularia robusta,,,Y,,,624
40500,Scyphozoa,jellyfish unident.,A88,Y,Y,Y,625
40501,Chrysaora sp.,chrysaora jellyfish,,Y,Y,Y,626
40510,Atolla sp.,,,,Y,,627
40560,Cyanea sp.,,,,Y,Y,628
40561,Cyanea capillata,lion's mane,,,Y,Y,629
41000,Anthozoa,,A88,Y,,,630
41100,Alcyonacea,soft coral unident.,A88,Y,Y,Y,631
41201,Gersemia sp.,sea raspberry,,Y,Y,,632
41221,Gersemia rubiformis,,,Y,,,633
41500,Gorgonacea,gorgonian coral unident.,A88,Y,Y,Y,634
41520,Primnoa sp.,,,,Y,,635
41522,Primnoa willeyi,red tree coral,,,Y,,636
41580,Paragorgia sp.,,,Y,,,637
41582,Paragorgia arborea,Kamchatka coral,,Y,Y,,638
41600,Callogorgia sp.,,,,Y,,639
