SCINAME,COMNAME,SVSPP
ISURUS PAUCUS,LONGFIN MAKO,927
JENKINSIA LAMPROTAENIA,DWARF HERRING,427
KATHETOSTOMA ALBIGUTTA,LANCER STARGAZER,726
KATSUWONUS PELAMIS,SKIPJACK TUNA,128
KYPHOSUS SECTATRIX,BERMUDA CHUB,658
LABRIDAE,WRASSE UNCL,683
LACHNOLAIMUS MAXIMUS,HOGFISH,682
LACTOPHRYS BICAUDALIS,SPOTTED TRUNKFISH,837
LACTOPHRYS POLYGONIA,HONEYCOMB COWFISH,838
LACTOPHRYS QUADRICORNIS,SCRAWLED COWFISH,839
LACTOPHRYS TRIGONUS,TRUNKFISH,840
LACTOPHRYS TRIQUETER,SMOOTH TRUNKFISH,841
LAEMONEMA BARBATULUM,,867
LAGENORHYNCHUS ACUTUS,WHITESIDED DOLPHIN,966
LAGOCEPHALUS LAEVIGATUS,SMOOTH PUFFER,195
LAGODON RHOMBOIDES,PINFISH,640
LAMNA NASUS,PORBEAGLE SHARK,353
LAMPANYCTUS SP,MADEIRA LANTERNFISH,052
LARIMUS FASCIATUS,BANDED DRUM,651
LEBBEUS GROENLANDICUS,SPINY LEBBEID,293
LEBBEUS POLARIS,POLAR LEBBEID,294
LEIOSTOMUS XANTHURUS,SPOT,149
LEPIDOCHELYS KEMPI,KEMP'S RIDLEY SEATURTLE,954
LEPIDOCYBIUM FLAVOBRUNNEUM,ESCOLAR,824
LEPOPHIDIUM JEANNAE,MOTTLED CUSK-EEL,457
LEPOPHIDIUM PROFUNDORUM,FAWN CUSK-EEL,194
LEPTASTERIAS TENERA,,962
LETHARCHUS VELIFER,SAILFIN EEL,392
LEUCORAJA ERINACEA,LITTLE SKATE,026
LEUCORAJA GARMANI,ROSETTE SKATE,025
LEUCORAJA OCELLATA,WINTER SKATE,023
LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER,105
LIMULUS POLYPHEMUS,HORSESHOE CRAB,318
LIPARIS ATLANTICUS,ATLANTIC SEASNAIL,170
LIPARIS INQUILINUS,INQUILINE SNAILFISH,167
LITHODES MAJA,NORTHERN STONE CRAB,324
LOBOTES SURINAMENSIS,TRIPLETAIL,598
LOLIGO PEALEII,LONGFIN SQUID,503
LOLIGO PEALEII EGG MOPS,LONGFIN SQUID EGG MOPS,520
LOLIGO PLEII,ARROW SQUID,505
LOLLIGUNCULA BREVIS,ATLANTIC BRIEF SQUID,504
LOPHIIFORMES,LOPHIIFORM UNCL,900
LOPHIUS AMERICANUS,GOOSEFISH,197
LOPHIUS GASTROPHYSUS,BLACKFIN GOOSEFISH,897
LOPHOLATILUS CHAMAELEONTICEPS,TILEFISH,151
LUMPENUS LUMPRETAEFORMIS,SNAKEBLENNY,182
LUMPENUS MACULATUS,DAUBED SHANNY,183
LUTJANIDAE,SNAPPER UNCL,597
LUTJANUS ANALIS,MUTTON SNAPPER,586
LUTJANUS APODUS,SCHOOLMASTER,587
LUTJANUS BUCCANELLA,BLACKFIN SNAPPER,588
LUTJANUS CAMPECHANUS,RED SNAPPER,589
LUTJANUS GRISEUS,GRAY SNAPPER,590
LUTJANUS JOCU,DOG SNAPPER,591
LUTJANUS SYNAGRIS,LANE SNAPPER,592
LUTJANUS VIVANUS,SILK SNAPPER,593
LYCENCHELYS VERRILLI,WOLF EELPOUT,190
LYCODES RETICULATUS,ARCTIC EELPOUT,189
MACRORHAMPHOSUS SCOLOPAX,LONGSPINE SNIPEFISH,111
MACROURIDAE,GRENADIER UNCL,090
MACROURUS BERGLAX,ROUGHHEAD GRENADIER,092
MACROZOARCES AMERICANUS,OCEAN POUT,193
MACTROMERIS POLYNYMA,ARCTIC SURFCLAM,407
MACTROMERIS POLYNYMA CLAPPER,ARCTIC SURFCLAM CLAPPER,408
MAJIDAE,SPIDER CRAB UNCL,317
MAKAIRA INDICA,BLACK MARLIN,940
MAKAIRA NIGRICANS,BLUE MARLIN,707
MALACANTHUS PLUMIERI,SAND TILEFISH,624
MALACOCEPHALUS OCCIDENTALIS,WESTERN SOFTHEAD GRENADIER,280
MALACORAJA SENTA,SMOOTH SKATE,027
MALLOTUS VILLOSUS,CAPELIN,038
MANTA BIROSTRIS,MANTA,272
MAUROLICUS WEITZMANI,WEITZMANS PEARLSIDES,229
MEGALOPS ATLANTICUS,TARPON,382
MELANOGRAMMUS AEGLEFINUS,HADDOCK,074
