"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,PONTINUS LONGISPINIS,154,166801,LONGSPINE SCORPIONFISH,Goode and Bean, 1896
NA,SEBASTES FASCIATUS,155,166774,ACADIAN REDFISH,Storer, 1854
NA,HELICOLENUS DACTYLOPTERUS,156,166787,BLACKBELLY ROSEFISH,(Delaroche, 1809)
NA,ANTIGONIA CAPROS,158,166311,DEEPBODY BOARFISH,Lowe, 1843
NA,ARTEDIELLUS ,159,167201,HOOKEAR SCULPINS,NA
NA,COTTIDAE,160,167196,SCULPIN UNCL,NA
NA,TRIGLOPS MURRAYI,161,167375,MOUSTACHE SCULPIN,Guenther, 1888
NA,MYOXOCEPHALUS SCORPIUS,162,167318,SHORTHORN SCULPIN,(Linnaeus, 1758)
NA,MYOXOCEPHALUS OCTODECEMSPINOSUS,163,167320,LONGHORN SCULPIN,(Mitchill, 1814)
NA,HEMITRIPTERUS AMERICANUS,164,167289,SEA RAVEN,(Gmelin, 1789)
NA,ASPIDOPHOROIDES MONOPTERYGIUS,165,167439,ALLIGATORFISH,(Bloch, 1786)
NA,MYOXOCEPHALUS AENAEUS,166,167321,GRUBBY,(Mitchill, 1814)
NA,LIPARIS INQUILINUS,167,167577,INQUILINE SNAILFISH,Able, 1973
NA,CYCLOPTERUS LUMPUS,168,167612,LUMPFISH,Linnaeus, 1758
NA,EUMICROTREMUS SPINOSUS,169,167545,ATLANTIC SPINY LUMPSUCKER,(Mueller, 1777)
NA,LIPARIS ATLANTICUS,170,167576,ATLANTIC SEASNAIL,(Jordan and Evermann, 1898)
NA,PRIONOTUS CAROLINUS,171,166974,NORTHERN SEAROBIN,(Linnaeus, 1771)
NA,PRIONOTUS EVOLANS,172,166975,STRIPED SEAROBIN,(Linnaeus, 1766)
NA,PERISTEDION MINIATUM,173,167010,ARMORED SEAROBIN,Goode, 1880
NA,TRIGLIDAE,174,166972,SEAROBIN UNCL,NA
NA,DACTYLOPTERUS VOLITANS,175,167624,FLYING GURNARD,(Linnaeus, 1758)
NA,TAUTOGOLABRUS ADSPERSUS,176,170481,CUNNER,(Walbaum, 1792)
NA,TAUTOGA ONITIS,177,170479,TAUTOG,(Linnaeus, 1758)
NA,ASTROSCOPUS GUTTATUS,179,171055,NORTHERN STARGAZER,Abbott, 1861
NA,PHOLIS GUNNELLUS,180,171645,ROCK GUNNEL,(Linnaeus, 1758)
NA,AMMODYTES DUBIUS,181,171674,NORTHERN SAND LANCE,Reinhardt, 1837
NA,LUMPENUS LUMPRETAEFORMIS,182,171588,SNAKEBLENNY,(Walbaum, 1792)
NA,LUMPENUS MACULATUS,183,171584,DAUBED SHANNY,(Fries, 1837)
NA,ULVARIA SUBBIFURCATA,184,171616,RADIATED SHANNY,(Storer, 1839)
NA,OPSANUS TAU,185,164423,OYSTER TOADFISH,(Linnaeus, 1766)
NA,OTOPHIDIUM OMOSTIGMUM,186,164859,POLKA-DOT CUSK-EEL,(Jordan and Gilbert, 1882)
NA,MULLUS AURATUS,187,169417,RED GOATFISH,Jordan and Gilbert, 1882
NA,OPHIDION MARGINATUM,188,164852,STRIPED CUSK-EEL,(De Kay, 1842)
NA,LYCODES RETICULATUS,189,165280,ARCTIC EELPOUT,Reinhardt, 1835
NA,LYCENCHELYS VERRILLI,190,165242,WOLF EELPOUT,(Goode and Bean, 1877)
NA,CRYPTACANTHODES MACULATUS,191,171609,WRYMOUTH,Storer, 1839
NA,ANARHICHAS LUPUS,192,171341,ATLANTIC WOLFFISH,Linnaeus, 1758
NA,MACROZOARCES AMERICANUS,193,165318,OCEAN POUT,(Schneider, 1801)
NA,LEPOPHIDIUM PROFUNDORUM,194,164831,FAWN CUSK-EEL,(Gill, 1863)
NA,LAGOCEPHALUS LAEVIGATUS,195,173285,SMOOTH PUFFER,(Linnaeus, 1766)
NA,SPHOEROIDES MACULATUS,196,173290,NORTHERN PUFFER,(Bloch and Schneider, 1801)
NA,LOPHIUS AMERICANUS,197,164499,GOOSEFISH,Valenciennes, 1837
NA,CHILOMYCTERUS SCHOEPFI,198,173384,STRIPED BURRFISH,(Walbaum, 1792)
NA,DIBRANCHUS ATLANTICUS,199,164589,ATLANTIC BATFISH,Peters, 1875
NA,RHINOBATOS LENTIGINOSUS,200,160815,ATLANTIC GUITARFISH,(Garman, 1880)
NA,MONACANTHUS HISPIDUS,201,173182,PLANEHEAD FILEFISH,(Linnaeus, 1766)
NA,BALISTES CAPRISCUS,202,173138,GRAY TRIGGERFISH,Gmelin, 1789
NA,SERIOLA DUMERILI,203,168689,GREATER AMBERJACK,(Risso, 1810)
NA,SERIOLA ZONATA,204,168693,BANDED RUDDERFISH,(Mitchill, 1815)
NA,SCOMBERESOX SAURUS,205,165612,ATLANTIC SAURY,(Walbaum, 1792)
NA,OGCOCEPHALUS CORNIGER,206,164584,LONGNOSE BATFISH,Bradbury, 1980
NA,HYPEROGLYPHE PERCIFORMIS,207,172512,BARRELFISH,(Mitchill, 1818)
NA,DECAPTERUS MACARELLUS,208,168724,MACKEREL SCAD,(Cuvier, 1833)
NA,SELAR CRUMENOPHTHALMUS,209,168677,BIGEYE SCAD,(Bloch, 1793)
NA,DIAPHUS DUMERILI,210,162594,HEADLIGHTFISH,(Bleeker, 1856)
NA,DECAPTERUS PUNCTATUS,211,168725,ROUND SCAD,(Cuvier, 1829)
NA,TRACHURUS LATHAMI,212,168587,ROUGH SCAD,Nichols, 1920
NA,ARIOMMA BONDI,213,172537,SILVER RAG,Fowler, 1930
NA,TYLOSURUS CROCODILUS,215,165577,HOUNDFISH,(Peron and Lesueur, 1821)
NA,SYMPHURUS ,221,173061,STRAIGHTMOUTH TONGUEFISHES,NA
NA,NESIARCHUS NASUTUS,227,172370,BLACK GEMFISH,Johnson, 1862
NA,STOMIAS BOA,228,162292,BOA DRAGONFISH,(Risso, 1810)
NA,MAUROLICUS WEITZMANI ,229,622356,WEITZMANS PEARLSIDES,NA
NA,CHLOROPHTHALMUS ,231,162428,NA,NA
NA,CHLOROPHTHALMUS AGASSIZI,232,162430,SHORTNOSE GREENEYE,Bonaparte, 1840
NA,GONOSTOMA BATHYPHILUM,233,162184,NA,NA
NA,GONOSTOMA ATLANTICUM,234,162183,NA,NA
NA,GONOSTOMA ELONGATUM,235,162185,LONGTOOTH ANGLEMOUTH,Guenther
NA,VINCIGUERRIA ,236,162192,NA,NA
NA,POLYMETME THAEOCORYLA ,237,622358,NA,NA
NA,BENTHODESMUS SIMONYI,239,172380,SIMONYS FROSTFISH,(Steindachner, 1891)
NA,CHAULIODUS SLOANI,240,162281,VIPERFISH,Schneider
NA,CHAULIODUS DANAE,241,162280,NA,NA
NA,PARASUDIS TRUCULENTA,242,162435,LONGNOSE GREENEYE,Goode Bean
NA,XENODERMICHTHYS COPEI,243,162340,BLUNTNOSE SMOOTHHEAD,NA
NA,VINCIGUERRIA ATTENUATA,244,162193,SLENDER LIGHTFISH,NA
NA,PARALEPIS COREGONOIDES,245,162493,NA,Risso, 1820
NA,ARCTOZENUS RISSO ,246,644687,WHITE BARRACUDINA,NA
NA,STOMIIDAE,248,162282,SCALY DRAGONFISH UNCL,NA
NA,CYCLOPTERIDAE,249,167483,LUMPFISH SNAILFISH UNCL,NA
NA,ARGYROPELECUS ACULEATUS,250,162215,SILVER HATCHETFISH,Cuvier and Valenciennes
NA,POLYIPNUS CLARUS ,251,622357,SLOPE HATCHETFISH,NA
NA,STERNOPTYCHIDAE,252,162212,HATCHETFISH UNCL,NA
NA,CAREPROCTUS RANULA ,260,643676,NA,NA
NA,HOPLOSTETHUS MEDITERRANEUS,261,166140,BLACKMOUTHED ALFONSIN,Cuvier and Valenciennes
NA,MELANOSTIGMA ATLANTICUM,262,165296,ATLANTIC SOFT POUT,Koefoed, 1952
NA,POLYMIXIA LOWEI,263,166126,BEARDFISH,Guenther, 1859
NA,POLYMIXIA NOBILIS,264,166127,STOUT BEARDFISH,Lowe
NA,MOLA MOLA,265,173414,OCEAN SUNFISH,(Linnaeus, 1758)
NA,HOPLOSTETHUS OCCIDENTALIS,266,166141,NA,NA
NA,ZOARCIDAE,267,165215,EELPOUT UNCL,NA
NA,GEPHYROBERYX DARWINI,268,166137,BIG ROUGHY,(Johnson, 1866)
NA,RHINOPTERA BONASUS,270,160985,COWNOSE RAY,(Mitchill, 1815)
NA,AETOBATUS NARINARI  ,271,160978,SPOTTED EAGLE RAY,NA
NA,MANTA BIROSTRIS,272,160992,MANTA,(Walbaum, 1792)
NA,PRIONOTUS PARALATUS,274,166987,MEXICAN SEAROBIN,Ginsburg, 1950
NA,MALACOCEPHALUS OCCIDENTALIS,280,165390,WESTERN SOFTHEAD GRENADIER,Goode and Bean, 1885
NA,YARELLA BLACKFORDI,281,162205,NA,NA
NA,SPIRONTOCARIS PHIPPSII,285,96761,PUNCTATE BLADE SHRIMP,(Kroyer, 1841)
NA,SPIRONTOCARIS SPINUS,286,96775,PARROT SHRIMP,(Sowerby, 1805)
NA,CRANGON SEPTEMSPINOSA,287,97110,SEVENSPINE BAY SHRIMP,Say, 1818
NA,EUALUS FABRICII,291,96805,ARCTIC EUALID,(Kroyer, 1841)
NA,PASIPHAEA MULTIDENTATA,292,96166,PINK GLASS SHRIMP,Esmark, 1866
NA,LEBBEUS GROENLANDICUS,293,96787,SPINY LEBBEID,(Fabricius, 1775)
NA,LEBBEUS POLARIS,294,96792,POLAR LEBBEID,(Sabine, 1821)
NA,SPIRONTOCARIS LILJEBORGII,295,96765,FRIENDLY BLADE SHRIMP,(Danielssen, 1859)
NA,DICHELOPANDALUS LEPTOCERUS,296,97000,BRISTLED LONGBEAK,(Smith, 1881)
