strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"INSHORE REGULAR","03450","SNE RHODE ISLAND",170,4125,7114,4104,4129,7100,7136,38,2,,,,
"INSHORE REGULAR","03460","SNE MARTHAS VNYD",273,4106,7010,4046,4127,7000,7100,65,2,,,,
"INSHORE REGULAR","03470","SNE RHODE ISLAND",45,,,4114,4128,7100,7134,,,,,,
"INSHORE REGULAR","03480","SNE NANTUCKET SD",113,,,4115,4128,6957,7052,,,,,,
"INSHORE REGULAR","03490","SNE BLOCK IS SD",299,,,4101,4121,7130,7203,,,,,,
"INSHORE REGULAR","03500","SNE BUZZARDS BAY",15,,,4130,4145,7040,7100,,,,,,
"INSHORE REGULAR","03510","SNE BUZZARDS BAY",117,4154,7046,4124,4143,7039,7110,,,,,,
"INSHORE REGULAR","03520","SNE NANTUCKET SH",521,4115,6951,4048,4141,6920,7048,160,4,,,,
"INSHORE REGULAR","03530","SNE NANTUCKET SD",142,,,4124,4205,6955,7043,,,,,,
"INSHORE REGULAR","03540","SNE NANTUCKET SD",277,4127,7007,4119,4138,7000,7059,,,,,,
"INSHORE REGULAR","03550","SNE NANTUCKET SH",495,4104,6933,4047,4141,6920,7000,134,4,,,,
"INSHORE REGULAR","03560","GME C COD NAUSET",57,4154,6957,4141,4207,6950,7011,11,1,,,,
"INSHORE REGULAR","03570","GME CAPE COD BAY",34,,,4142,4210,7000,7043,,,,,,
"INSHORE REGULAR","03580","GME CAPE COD BAY",88,4147,7013,4144,4210,7006,7042,24,1,,,,
"INSHORE REGULAR","03590","GME CAPE COD BAY",93,4149,7022,4146,4210,7007,7038,26,1,,,,
"INSHORE REGULAR","03600","GME CAPE COD BAY",126,4155,7021,4151,4210,7009,7035,34,2,,,,
"INSHORE REGULAR","03610","GME CAPE COD BAY",133,4202,7022,4157,4210,6956,7032,38,2,,,,
"INSHORE REGULAR","03620","GME CAPE ANN",62,,0,4211,4252,7034,7103,,,,,,
"INSHORE REGULAR","03630","GME CAPE ANN",78,4218,7049,4210,4252,7034,7057,19,1,,,,
"INSHORE REGULAR","03640","GME CAPE ANN",90,4222,7048,4210,4252,7033,7053,19,1,,,,
"INSHORE REGULAR","03650","GME CAPE ANN",75,4227,7047,4210,4252,7032,7050,16,1,,,,
"INSHORE REGULAR","03660","GME CAPE ANN",151,4228,7042,4210,4252,6923,7045,40,2,,,,
"INSHORE REGULAR","03670","GME N HAMPSHIRE",5,,,4252,4304,7039,7049,,,,,,
"INSHORE REGULAR","03680","GME N HAMPSHIRE",40,4258,7044,4252,4304,7033,7048,10,1,,,,
"INSHORE REGULAR","03690","GME N HAMPSHIRE",57,4258,7036,4252,4304,7029,7045,15,1,,,,
"INSHORE REGULAR","03700","GME MAINE",10,,,4304,4329,7019,7039,,,,,,
"INSHORE REGULAR","03710","GME MAINE",72,4311,7032,4304,4329,7017,7040,18,1,,,,
"INSHORE REGULAR","03720","GME MAINE",129,4315,7026,4304,4329,7006,7034,34,2,,,,
"INSHORE REGULAR","03730","GME MAINE",31,,,4329,4358,6950,7023,,,,,,
"INSHORE REGULAR","03740","GME MAINE",68,4336,7010,4329,4344,6950,7022,16,1,,,,
"INSHORE REGULAR","03750","GME MAINE",76,4335,7001,4329,4341,6950,7017,23,1,,,,
"INSHORE REGULAR","03760","GME MAINE",20,,,4340,4410,6950,6930,,,,,,
"INSHORE REGULAR","03770","GME MAINE",34,4345,6941,4339,4350,6930,6950,7,1,,,,
"INSHORE REGULAR","03780","GME MAINE",44,4342,6942,4337,4349,6930,6950,10,1,,,,
"INSHORE REGULAR","03790","GME MAINE",34,,,4350,4404,6908,6930,,,,,,
